Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,18.112589375,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.0,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,19.019019416695883,18.570734229687496,18.597742984665,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.3,17.855,16.0,15,14.75,13,12,11,10,9,8,7,6,5,4,3,2,1
0,18.0,17.3,16.0,15,14.0,13,12,11,10,9,8,7,6,5,4,3,2,1
